dataset,k,mean_psnr,ci_lower,ci_upper
BOSSbase,1,54.32164366275122,54.3094208875009,54.33386643800154
BOSSbase,2,48.29562787960768,48.28317988787254,48.308075871342815
BOSSbase,3,42.27002444311216,42.25614961160771,42.283899274616616
Medical,1,54.59029048900925,54.56675876403051,54.61382221398799
Medical,2,48.586078897298684,48.55986843506303,48.61228935953434
Medical,3,42.639001991036864,42.61780687117397,42.66019711089976
Textures,1,54.34583708485645,54.339752270285146,54.35192189942775
Textures,2,48.32101246250499,48.314291413846604,48.32773351116337
Textures,3,42.30476249586798,42.297189347459906,42.31233564427606
