dataset,k,mean_variance,ci_lower,ci_upper
BOSSbase,1,0.2492992423933174,0.2487302928888231,0.24986819189781173
BOSSbase,2,0.2491837149776984,0.24857184678598537,0.24979558316941142
BOSSbase,3,0.24889506094827085,0.2482197400993931,0.2495703817971486
Medical,1,0.2125907862803433,0.2070172272799522,0.21816434528073442
Medical,2,0.20535391727200478,0.19974118751132997,0.2109666470326796
Medical,3,0.1835501521291735,0.17849672054016055,0.18860358371818645
Textures,1,0.2496355126290291,0.24935233188415076,0.24991869337390746
Textures,2,0.24946556570663234,0.24893201344577287,0.2499991179674918
Textures,3,0.2490960307253408,0.24841186384506078,0.24978019760562084
